Дата,Час,Код цифровий,Код літерний,Кількість одиниць,Назва валюти,"Офіційний курс гривні, грн"
24.05.2024,00.00,978,EUR,1,Євро,43.3137
25.05.2024,00.00,978,EUR,1,Євро,43.3137
26.05.2024,00.00,978,EUR,1,Євро,43.3137
27.05.2024,00.00,978,EUR,1,Євро,43.491
28.05.2024,00.00,978,EUR,1,Євро,43.759
29.05.2024,00.00,978,EUR,1,Євро,43.9708
30.05.2024,00.00,978,EUR,1,Євро,43.9202
31.05.2024,00.00,978,EUR,1,Євро,43.8171
01.06.2024,00.00,978,EUR,1,Євро,43.8171
02.06.2024,00.00,978,EUR,1,Євро,43.8171
03.06.2024,00.00,978,EUR,1,Євро,43.985
04.06.2024,00.00,978,EUR,1,Євро,43.8939
05.06.2024,00.00,978,EUR,1,Євро,43.7671
06.06.2024,00.00,978,EUR,1,Євро,43.6083
07.06.2024,00.00,978,EUR,1,Євро,43.627
08.06.2024,00.00,978,EUR,1,Євро,43.627
09.06.2024,00.00,978,EUR,1,Євро,43.627
10.06.2024,00.00,978,EUR,1,Євро,43.8709
11.06.2024,00.00,978,EUR,1,Євро,43.4726
12.06.2024,00.00,978,EUR,1,Євро,43.4594
13.06.2024,00.00,978,EUR,1,Євро,43.532
14.06.2024,00.00,978,EUR,1,Євро,43.885
15.06.2024,00.00,978,EUR,1,Євро,43.885
16.06.2024,00.00,978,EUR,1,Євро,43.885
17.06.2024,00.00,978,EUR,1,Євро,43.4782
18.06.2024,00.00,978,EUR,1,Євро,43.5366
19.06.2024,00.00,978,EUR,1,Євро,43.4486
20.06.2024,00.00,978,EUR,1,Євро,43.5744
21.06.2024,00.00,978,EUR,1,Євро,43.4276
22.06.2024,00.00,978,EUR,1,Євро,43.4276
23.06.2024,00.00,978,EUR,1,Євро,43.4276
24.06.2024,00.00,978,EUR,1,Євро,43.2347
25.06.2024,00.00,978,EUR,1,Євро,43.5188
26.06.2024,00.00,978,EUR,1,Євро,43.545
27.06.2024,00.00,978,EUR,1,Євро,43.3133
28.06.2024,00.00,978,EUR,1,Євро,43.3547
29.06.2024,00.00,978,EUR,1,Євро,43.3547
30.06.2024,00.00,978,EUR,1,Євро,43.3547
01.07.2024,00.00,978,EUR,1,Євро,43.2658
02.07.2024,00.00,978,EUR,1,Євро,43.6853
03.07.2024,00.00,978,EUR,1,Євро,43.6977
04.07.2024,00.00,978,EUR,1,Євро,43.8495
05.07.2024,00.00,978,EUR,1,Євро,43.7814
06.07.2024,00.00,978,EUR,1,Євро,43.7814
07.07.2024,00.00,978,EUR,1,Євро,43.7814
08.07.2024,00.00,978,EUR,1,Євро,43.8624
09.07.2024,00.00,978,EUR,1,Євро,44.0781
10.07.2024,00.00,978,EUR,1,Євро,44.0846
11.07.2024,00.00,978,EUR,1,Євро,44.0776
12.07.2024,00.00,978,EUR,1,Євро,44.3818
13.07.2024,00.00,978,EUR,1,Євро,44.3818
14.07.2024,00.00,978,EUR,1,Євро,44.3818
15.07.2024,00.00,978,EUR,1,Євро,44.686
16.07.2024,00.00,978,EUR,1,Євро,44.7263
17.07.2024,00.00,978,EUR,1,Євро,44.9789
18.07.2024,00.00,978,EUR,1,Євро,45.3457
19.07.2024,00.00,978,EUR,1,Євро,45.2618
20.07.2024,00.00,978,EUR,1,Євро,45.2618
21.07.2024,00.00,978,EUR,1,Євро,45.2618
22.07.2024,00.00,978,EUR,1,Євро,45.186
23.07.2024,00.00,978,EUR,1,Євро,44.9952
24.07.2024,00.00,978,EUR,1,Євро,44.7693
25.07.2024,00.00,978,EUR,1,Євро,44.7044
26.07.2024,00.00,978,EUR,1,Євро,44.683
27.07.2024,00.00,978,EUR,1,Євро,44.683
28.07.2024,00.00,978,EUR,1,Євро,44.683
29.07.2024,00.00,978,EUR,1,Євро,44.6324
30.07.2024,00.00,978,EUR,1,Євро,44.4055
31.07.2024,00.00,978,EUR,1,Євро,44.4181
01.08.2024,00.00,978,EUR,1,Євро,44.4016
02.08.2024,00.00,978,EUR,1,Євро,44.4013
03.08.2024,00.00,978,EUR,1,Євро,44.4013
04.08.2024,00.00,978,EUR,1,Євро,44.4013
05.08.2024,00.00,978,EUR,1,Євро,44.6467
06.08.2024,00.00,978,EUR,1,Євро,45.1474
07.08.2024,00.00,978,EUR,1,Євро,44.7931
08.08.2024,00.00,978,EUR,1,Євро,44.7676
09.08.2024,00.00,978,EUR,1,Євро,44.809
10.08.2024,00.00,978,EUR,1,Євро,44.809
11.08.2024,00.00,978,EUR,1,Євро,44.809
12.08.2024,00.00,978,EUR,1,Євро,44.8855
13.08.2024,00.00,978,EUR,1,Євро,45.1058
14.08.2024,00.00,978,EUR,1,Євро,45.1957
15.08.2024,00.00,978,EUR,1,Євро,45.5497
16.08.2024,00.00,978,EUR,1,Євро,45.3055
17.08.2024,00.00,978,EUR,1,Євро,45.3055
18.08.2024,00.00,978,EUR,1,Євро,45.3055
19.08.2024,00.00,978,EUR,1,Євро,45.2991
